compensation_status,accident_id,vehicle_id,fd_decision,circumstances,road_signs,road_surface,visibility,road_conditions,accident_date,address_id
VALIDATED_EIF,16141,26245.0,NG,,,1.0,2.0,1.0,2020-02-01 01:30:00+04:00,141147
VALIDATED_EIF,16141,26244.0,FG,2.0,,1.0,2.0,1.0,2020-02-01 01:30:00+04:00,141147
VALIDATED_EIF,16141,26244.0,FG,12.0,,1.0,2.0,1.0,2020-02-01 01:30:00+04:00,141147
VALIDATED_EIF,16141,26244.0,FG,35.0,,1.0,2.0,1.0,2020-02-01 01:30:00+04:00,141147
VALIDATED_EIF,16169,26324.0,NG,2.0,,1.0,1.0,2.0,2020-02-01 18:00:00+04:00,141548
VALIDATED_EIF,16169,26324.0,NG,12.0,,1.0,1.0,2.0,2020-02-01 18:00:00+04:00,141548
VALIDATED_EIF,16169,26324.0,NG,25.0,,1.0,1.0,2.0,2020-02-01 18:00:00+04:00,141548
VALIDATED_EIF,16169,26323.0,FG,,,1.0,1.0,2.0,2020-02-01 18:00:00+04:00,141548
VALIDATED_EIF,16176,26341.0,NG,,,1.0,1.0,1.0,2020-02-02 12:15:00+04:00,141641
VALIDATED_EIF,16176,26340.0,FG,2.0,,1.0,1.0,1.0,2020-02-02 12:15:00+04:00,141641
VALIDATED_EIF,16176,26340.0,FG,12.0,,1.0,1.0,1.0,2020-02-02 12:15:00+04:00,141641
VALIDATED_EIF,16176,26340.0,FG,30.0,,1.0,1.0,1.0,2020-02-02 12:15:00+04:00,141641
VALIDATED_EIF,16266,26320.0,FG,3.0,,1.0,1.0,1.0,2020-02-02 11:55:00+04:00,141524
VALIDATED_EIF,16266,26320.0,FG,15.0,,1.0,1.0,1.0,2020-02-02 11:55:00+04:00,141524
VALIDATED_EIF,16266,26319.0,FG,3.0,,1.0,1.0,1.0,2020-02-02 11:55:00+04:00,141524
VALIDATED_EIF,16266,26319.0,FG,12.0,,1.0,1.0,1.0,2020-02-02 11:55:00+04:00,141524
VALIDATED_EIF,16266,26319.0,FG,25.0,,1.0,1.0,1.0,2020-02-02 11:55:00+04:00,141524
VALIDATED_EIF,16310,50551.0,FG,2.0,,1.0,1.0,1.0,2020-02-02 17:15:00+04:00,142132
VALIDATED_EIF,16310,50551.0,FG,15.0,,1.0,1.0,1.0,2020-02-02 17:15:00+04:00,142132
VALIDATED_EIF,16310,26448.0,NG,,,1.0,1.0,1.0,2020-02-02 17:15:00+04:00,142132
VALIDATED_EIF,16334,26564.0,NG,2.0,,1.0,2.0,1.0,2020-02-02 21:58:00+04:00,142672
VALIDATED_EIF,16334,26564.0,NG,16.0,,1.0,2.0,1.0,2020-02-02 21:58:00+04:00,142672
VALIDATED_EIF,16334,26562.0,NG,2.0,,1.0,2.0,1.0,2020-02-02 21:58:00+04:00,142672
VALIDATED_EIF,16334,26562.0,NG,16.0,,1.0,2.0,1.0,2020-02-02 21:58:00+04:00,142672
VALIDATED_EIF,16334,26562.0,NG,29.0,,1.0,2.0,1.0,2020-02-02 21:58:00+04:00,142672
VALIDATED_EIF,16334,26562.0,NG,35.0,,1.0,2.0,1.0,2020-02-02 21:58:00+04:00,142672
VALIDATED_EIF,16334,26561.0,NG,3.0,,1.0,2.0,1.0,2020-02-02 21:58:00+04:00,142672
