id,accident_id,plate_number,vin,body_number,vehicle_type_id,mark_code,model_code,driver_guilt_option_id,traffic_direction_from,traffic_direction_to,object_id,is_drunk,is_unidentified_vehicle,is_vehicle_left_accident,driver_comment,yellow_number,is_damaged,is_circumstance_inconsistency,is_traffic_direction_inconsistency,is_road_sign_inconsistency,is_collision_sequence_inconsistency,accident_number,accident_date,is_injured_person,is_property_damage,road_condition_id,weather_condition_id,illumination_condition_id,visibility_condition_id,accident_classification_id,model_img,model_scheme,other,address_id,road_surface_condition_id,id-2,is_confirmation_passed
102435,48477,11LM911,4T1BF1FK6CU043790,,2,265,223,3,????????,???????? 5,508487,FALSE,FALSE,FALSE,,,TRUE,,,,,ANK270620220105785,2022-06-27 13:05:00+04,FALSE,FALSE,1,,,1,2,,,,89679,1,48477,FALSE
102434,48477,89AD898,VF1HSRC9550872381,,2,226,246,3,???????? ?? 12/60,?????? ????????? ????????,508486,FALSE,FALSE,FALSE,,,TRUE,,,,,ANK270620220105785,2022-06-27 13:05:00+04,FALSE,FALSE,1,,,1,2,,,,89679,1,48477,FALSE
102528,48521,35DG628,XTA21150043607283,,2,280,81,3,?????,????,508680,FALSE,FALSE,FALSE,,,FALSE,,,,,AGE270620221045533,2022-06-27 10:45:00+04,FALSE,FALSE,1,,,1,2,,,,89763,1,48521,FALSE
102527,48521,61AF001,JA4MW51R62J059832,V75W2J059832,2,194,196,3,?????,????,508678,FALSE,FALSE,FALSE,,,FALSE,,,,,AGE270620221045533,2022-06-27 10:45:00+04,FALSE,FALSE,1,,,1,2,,,,89763,1,48521,FALSE
102680,48594,342AO61,LSY8CACFXJK01389,,5,821,3,3,?????? ??,???????? ???,508515,FALSE,FALSE,FALSE,"?? ??????? ??????? ? ????
5.5 ?????? ??????? ?????  ???????????",,TRUE,TRUE,,,,AYR270620220205049,2022-06-27 02:05:00+04,FALSE,FALSE,1,,,2,2,,,,89902,1,48594,FALSE
102681,48594,35GZ872,WDB2020201F382373,,2,190,36,3,?????? ??,???????? ???,508516,FALSE,FALSE,FALSE,?? ??????? ??????? ? ????,,TRUE,,,,,AYR270620220205049,2022-06-27 02:05:00+04,FALSE,FALSE,1,,,2,2,,,,89902,1,48594,FALSE
102792,48647,305SS60,XTT31519040567711,40006967,2,273,25,3,?????,???????,509208,FALSE,FALSE,FALSE,1 ????? ???????????? ?? ?????? ????? ? ????????? ??? ??????? ????? ?????????.,,TRUE,,,,,AAG270620220120484,2022-06-27 13:20:00+04,FALSE,FALSE,1,,,1,2,,,,89998,1,48647,FALSE
102791,48647,01XU002,JTJBT20X260109011,,2,170,11,3,?? ?????,??????,509193,FALSE,FALSE,FALSE,???????? ???,,TRUE,,,,,AAG270620220120484,2022-06-27 13:20:00+04,FALSE,FALSE,1,,,1,2,,,,89998,1,48647,FALSE
102887,48694,GEJB655BB,,,2,,,3,???????????,????????,508840,FALSE,FALSE,FALSE,5?2 ??????? ??????? 2 ??????,,,,,,,AYR270620221015476,2022-06-27 22:15:00+04,FALSE,FALSE,,,,,2,,,,90088,,48694,FALSE
102888,48694,GEGG666GC,,,2,,,3,,,508839,FALSE,FALSE,FALSE,5.2 1 ????? ??????? ? ?? ????????? ????????? ??????? ?????? ????? ?? ??????,,,,,,,AYR270620221015476,2022-06-27 22:15:00+04,FALSE,FALSE,,,,,2,,,,90088,,48694,FALSE
102905,48703,35TD927,W0L0TGF75Y2263167,,2,210,151,3,????? ????? ???,????? ????????,508926,FALSE,FALSE,FALSE,"5,2??? ???????? ??
???????? ? 2??????",,TRUE,,,,,AYR280620221240221,2022-06-28 00:40:00+04,FALSE,FALSE,1,,,2,2,,,,90105,1,48703,FALSE
102904,48703,77TX977,PY50-212198,,2,204,321,3,????? ????? ???,????? ???-????,508925,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR280620221240221,2022-06-28 00:40:00+04,FALSE,FALSE,1,,,2,2,,,,90105,1,48703,FALSE
102917,48709,GEGG666GC,,,2,,,3,,,508839,FALSE,FALSE,FALSE,5.2 1 ????? ??????? ? ?? ????????? ????????? ??????? ?????? ????? ?? ??????,,TRUE,,,,,AYR270620221015476,2022-06-27 22:15:00+04,FALSE,FALSE,,,,,2,,,,90117,,48709,FALSE
102916,48709,GEJB655BB,,,2,,,3,???????????,????????,508840,FALSE,FALSE,FALSE,5?2 ??????? ??????? 2 ??????,,TRUE,,,,,AYR270620221015476,2022-06-27 22:15:00+04,FALSE,FALSE,,,,,2,,,,90117,,48709,FALSE
102933,48718,37FF476,WVWZZZ1HZTW276123,,2,282,142,3,,,509219,FALSE,FALSE,FALSE,,,,,,,,ANK270620220920694,2022-06-27 21:20:00+04,FALSE,FALSE,,,,,2,,,,90129,,48718,FALSE
102934,48718,22SS074,X9627050060456421,2.70501E+13,1,93,181,1,?????? ???????,?????? ???,509303,FALSE,FALSE,FALSE,,,,,,,,ANK270620220920694,2022-06-27 21:20:00+04,FALSE,FALSE,,,,,2,,,,90129,,48718,FALSE
102945,48723,35DM532,,H57A-0035961,2,194,,3,??????????,??????????,509938,FALSE,FALSE,FALSE,,,TRUE,,,,,ASH280620221003172,2022-06-28 22:03:00+04,FALSE,FALSE,1,,,1,2,,,,90137,1,48723,FALSE
102944,48723,01DI011,4T1BF1FK8EU434975,,2,265,223,3,??????????,?????-????,509844,FALSE,FALSE,FALSE,,,TRUE,,,,,ASH280620221003172,2022-06-28 22:03:00+04,FALSE,FALSE,1,,,1,2,,,,90137,1,48723,FALSE
102965,48733,35ZZ787,WDB2100651B433645,,2,190,281,3,???????,?????????,509605,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR280620220320598,2022-06-28 15:20:00+04,FALSE,FALSE,1,,,1,2,,,,90154,1,48733,FALSE
102968,48733,51FR555,WDDHF5KB3CA584637,,2,190,284,3,???????,?????????,509582,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR280620220320598,2022-06-28 15:20:00+04,FALSE,FALSE,1,,,1,2,,,,90154,1,48733,FALSE
102967,48733,17DG001,XTT236321G1009014,316300G1009014,2,273,,3,???????,?????????,509606,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR280620220320598,2022-06-28 15:20:00+04,FALSE,FALSE,1,,,1,2,,,,90154,1,48733,FALSE
102966,48733,61TT600,WA1BY74L27D051608,,2,9,168,3,???????,?????????,509608,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR280620220320598,2022-06-28 15:20:00+04,FALSE,FALSE,1,,,1,2,,,,90154,1,48733,FALSE
103131,48814,87DM008,NT30-102208,,2,204,178,3,?????? ???,???????????,509853,FALSE,FALSE,TRUE,5.2 ??????????? ?????? ?????? ?????? ?????????????? ??????? ????,,TRUE,,,,,AYR270620220200659,2022-06-27 14:00:00+04,FALSE,FALSE,,,,,2,,,,90316,,48814,FALSE
103130,48814,167OV61,WV1ZZZ2EZ76036023,,1,282,23,3,?????????,????? ?????? ???????,509955,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR270620220200659,2022-06-27 14:00:00+04,FALSE,FALSE,,,,,2,,,,90316,,48814,FALSE
103175,48833,36AQ099,W0L0TGF48Y6082865,,2,210,13,3,???????,?????,509942,FALSE,FALSE,FALSE,"5,5 ?? ?????? ??????? ?? ????",,TRUE,,,,,AYR290620220248204,2022-06-29 14:48:00+04,FALSE,FALSE,1,,,1,2,,,,90354,1,48833,FALSE
103174,48833,37FS143,5J6RE4H38BL026677,,2,121,55,3,???????,?????,509943,FALSE,FALSE,FALSE,"5,3 ????? ?? ????????, ?????? ???????? ? ????",,TRUE,,,,,AYR290620220248204,2022-06-29 14:48:00+04,FALSE,FALSE,1,,,1,2,,,,90354,1,48833,FALSE
103180,48835,041AP61,LZZ5ELND8BN628382,,1,125,,3,?????,??????,509937,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR290620220340132,2022-06-29 15:40:00+04,FALSE,FALSE,1,,,1,2,,,,90358,1,48835,FALSE
103179,48835,99TX199,4T1BF3EK6AU051141,,2,265,223,3,?????,???????,509843,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR290620220340132,2022-06-29 15:40:00+04,FALSE,FALSE,1,,,1,2,,,,90358,1,48835,FALSE
103186,48838,37PA794,WBAWB33547PV70868,,2,26,60,3,???????????,??????????,509835,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR290620220530636,2022-06-29 17:30:00+04,FALSE,FALSE,1,,,1,2,,,,90363,1,48838,FALSE
